"   MODEL_2"

"Time      "	".MARKER_19.Total_Torque_On_Point.Mag"
0.000000e+00	3.749161e+04
3.400000e-02	3.748164e+04
6.800000e-02	3.747346e+04
1.020000e-01	3.746689e+04
1.360000e-01	3.746171e+04
1.700000e-01	3.745768e+04
2.040000e-01	3.745450e+04
2.380000e-01	3.745190e+04
2.720000e-01	3.744961e+04
3.060000e-01	3.744734e+04
3.400000e-01	3.744486e+04
3.740000e-01	3.744194e+04
4.080000e-01	3.743838e+04
4.420000e-01	3.743400e+04
4.760000e-01	3.742863e+04
5.100000e-01	3.742214e+04
5.440000e-01	3.741438e+04
5.780000e-01	3.740520e+04
6.120000e-01	3.739447e+04
6.460000e-01	3.738205e+04
6.800000e-01	3.736779e+04
7.140000e-01	3.735159e+04
7.480000e-01	3.733331e+04
7.820000e-01	3.731290e+04
8.160000e-01	3.729031e+04
8.500000e-01	3.726556e+04
8.840000e-01	3.723873e+04
9.180000e-01	3.721000e+04
9.520000e-01	3.717960e+04
9.860000e-01	3.714785e+04
1.020000e+00	3.711517e+04
1.054000e+00	3.708201e+04
1.088000e+00	3.704890e+04
1.122000e+00	3.701639e+04
1.156000e+00	3.698506e+04
1.190000e+00	3.695545e+04
1.224000e+00	3.692810e+04
1.258000e+00	3.690346e+04
1.292000e+00	3.688192e+04
1.326000e+00	3.686378e+04
1.360000e+00	3.684924e+04
1.394000e+00	3.683838e+04
1.428000e+00	3.683118e+04
1.462000e+00	3.682754e+04
1.496000e+00	3.682725e+04
1.530000e+00	3.683004e+04
1.564000e+00	3.683560e+04
1.598000e+00	3.684357e+04
1.632000e+00	3.685360e+04
1.666000e+00	3.686533e+04
1.700000e+00	3.687845e+04
1.734000e+00	3.689266e+04
1.768000e+00	3.690772e+04
1.802000e+00	3.692345e+04
1.836000e+00	3.693971e+04
1.870000e+00	3.695638e+04
1.904000e+00	3.697340e+04
1.938000e+00	3.699072e+04
1.972000e+00	3.700830e+04
2.006000e+00	3.702608e+04
2.040000e+00	3.704400e+04
2.074000e+00	3.706199e+04
2.108000e+00	3.707992e+04
2.142000e+00	3.709766e+04
2.176000e+00	3.711506e+04
2.210000e+00	3.713194e+04
2.244000e+00	3.714812e+04
2.278000e+00	3.716342e+04
2.312000e+00	3.717768e+04
2.346000e+00	3.719078e+04
2.380000e+00	3.720262e+04
2.414000e+00	3.721315e+04
2.448000e+00	3.722239e+04
2.482000e+00	3.723037e+04
2.516000e+00	3.723720e+04
2.550000e+00	3.724300e+04
2.584000e+00	3.724796e+04
2.618000e+00	3.725225e+04
2.652000e+00	3.725605e+04
2.686000e+00	3.725958e+04
2.720000e+00	3.726299e+04
2.754000e+00	3.726645e+04
2.788000e+00	3.727009e+04
2.822000e+00	3.727404e+04
2.856000e+00	3.727838e+04
2.890000e+00	3.728320e+04
2.924000e+00	3.728857e+04
2.958000e+00	3.729457e+04
2.992000e+00	3.730130e+04
3.026000e+00	3.730886e+04
3.060000e+00	3.731740e+04
3.094000e+00	3.732708e+04
3.128000e+00	3.733809e+04
3.162000e+00	3.735064e+04
3.196000e+00	3.736496e+04
3.230000e+00	3.738128e+04
3.264000e+00	3.739979e+04
3.298000e+00	3.742067e+04
3.332000e+00	3.744403e+04
3.366000e+00	3.746994e+04
3.400000e+00	3.749836e+04


